cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8,ip,presult,p2
2015-04-14,2095.85,0.0,0.163,-0.295,0.67,1.756,0.019,0.163,0.225
2015-04-13,2092.43,0.163,-0.45799999999999996,0.06,0.775,1.187,0.041,-0.458,0.508
2015-04-10,2102.06,-0.45799999999999996,0.52,0.968,1.03,0.758,0.018,0.520,1.234
2015-04-09,2091.18,0.52,0.446,0.715,1.172,1.463,0.017,0.446,0.508
2015-04-08,2081.9,0.446,0.268,0.062,1.078,1.252,0.022,0.268,0.723
2015-04-07,2076.33,0.268,-0.20600000000000002,0.45299999999999996,0.408,0.741,0.033,-0.206,0.808
2015-04-06,2080.62,-0.20600000000000002,0.6609999999999999,1.016,-0.26899999999999996,-0.52,0.011,0.661,0.617
2015-04-02,2066.96,0.6609999999999999,0.353,-0.045,0.28800000000000003,-1.78,0.031,0.353,0.836
2015-04-01,2059.69,0.353,-0.397,-1.273,0.172,-2.295,0.054,-0.397,1.707
2015-03-31,2067.89,-0.397,-0.88,0.33299999999999996,0.332,-1.023,0.061,0.880,2.341
2015-03-30,2086.24,-0.88,1.224,1.463,-0.251,-0.632,-0.005,1.224,1.223
2015-03-27,2061.02,1.224,0.237,-0.001,-2.062,-0.639,0.009,0.237,-1.457
2015-03-26,2056.15,0.237,-0.23800000000000002,-1.69,-2.4619999999999997,-1.203,0.024,-0.238,-2.308
2015-03-25,2061.05,-0.23800000000000002,-1.456,-2.061,-1.351,0.373,0.059,-1.456,-1.897
2015-03-24,2091.5,-1.456,-0.614,-0.7859999999999999,-0.381,1.237,0.037,-0.614,0.458
2015-03-23,2104.42,-0.614,-0.17300000000000001,0.725,1.453,3.1460000000000004,0.029,0.173,1.072
2015-03-20,2108.06,-0.17300000000000001,0.899,0.408,1.291,3.1260000000000003,-0.002,0.899,2.115
2015-03-19,2089.27,0.899,-0.48700000000000004,0.723,1.7469999999999999,0.473,0.053,-0.000,0.884
2015-03-18,2099.5,-0.48700000000000004,1.216,0.88,1.624,1.3630000000000002,0.000,1.216,2.237
2015-03-17,2074.28,1.216,-0.332,1.0170000000000001,1.6680000000000001,-1.274,0.057,-0.332,0.414
2015-03-16,2081.19,-0.332,1.3530000000000002,0.738,1.8119999999999998,-0.826,0.010,1.353,2.006
2015-03-13,2053.4,1.3530000000000002,-0.607,0.645,-1.252,-2.58,0.050,-0.607,0.461
